episode,reward,ema_reward
205,-801.885685894704,-793.147471579262
206,-790.2342292410747,-792.5648231116246
207,-795.9521707389811,-793.2422926370959
208,-798.0177425947397,-794.1973826286247
209,-808.8839551612192,-797.1346971351437
210,-808.2940940295822,-799.3665765140314
211,-785.9963475017355,-796.6925307115723
212,-797.3083049768593,-796.8156855646298
213,-790.4683455823726,-795.5462175681785
214,-808.4343150001093,-798.1238370545647
215,-799.0664134865567,-798.3123523409631
216,-801.0898050854767,-798.8678428898659
217,-797.4873151843711,-798.591737348767
218,-803.6683917919484,-799.6070682374034
219,-790.1861907206178,-797.7228927340462
220,-769.8480735276158,-792.1479288927602
221,-799.84608950622,-793.6875610154523
222,-812.4094454781523,-797.4319379079923
223,-798.9588303201721,-797.7373163904283
224,-798.9349387898197,-797.9768408703067
225,-798.067729691441,-797.9950186345336
226,-799.2980406780689,-798.2556230432408
227,-786.324464737109,-795.8693913820144
228,-800.7401254834357,-796.8435382022988
229,-790.5908308284763,-795.5929967275343
230,-820.698533839566,-800.6141041499408
231,-809.3606348578493,-802.3634102915225
232,-790.7335433583613,-800.0374369048903
233,-808.0175954880872,-801.6334686215298
234,-797.1457650276157,-800.7359279027471
235,-799.5989218954787,-800.5085267012935
236,-787.0784077590181,-797.8225029128384
237,-800.0683367027211,-798.271669670815
238,-796.9801153036452,-798.013358797381
239,-801.2983964286611,-798.670366323637
240,-801.0787496565349,-799.1520429902166
241,-800.5913624665363,-799.4399068854806
242,-795.9458236707105,-798.7410902425266
243,-798.1573271905373,-798.6243376321289
244,-820.7289574177969,-803.0452615892625
245,-821.2615436575734,-806.6885180029246
246,-800.0916269211406,-805.3691397865679
247,-798.8735041952132,-804.0700126682971
248,-791.2172543353086,-801.4994610016994
249,-796.9803935938746,-800.5956475201344
250,-799.6374934741672,-800.404016710941
251,-786.8547869186403,-797.694170752481
252,-810.0777943641393,-800.1708954748127
253,-809.7531652960905,-802.0873494390684
254,-789.1984194305708,-799.5095634373689
255,-809.3513419306513,-801.4779191360254
256,-800.0012968346048,-801.1825946757414
257,-777.8875976274749,-796.5235952660881
258,-797.9327473366484,-796.8054256802002
259,-787.1474463151291,-794.8738298071861
260,-810.2978189772243,-797.9586276411939
261,-798.7654359308955,-798.1199892991342
262,-799.3204033747533,-798.3600721142581
263,-788.3738776035834,-796.3628332121232
264,-819.912355395609,-801.0727376488203
265,-790.3190241891916,-798.9219949568947
266,-800.90047453681,-799.3176908728777
267,-799.14633520204,-799.2834197387102
268,-810.4581544792427,-801.5183666868168
269,-799.6970789649133,-801.1541091424361
270,-799.8612987884009,-800.8955470716292
271,-791.9274857129087,-799.1019347998852
272,-799.0420004908419,-799.0899479380765
273,-801.9252727535736,-799.657012901176
274,-798.1838419765163,-799.3623787162442
275,-800.7622306860244,-799.6423491102003
276,-808.2233315566813,-801.3585455994964
277,-790.1239831426359,-799.1116331081244
278,-796.6772635163207,-798.6247591897637
279,-806.8854976182661,-800.2769068754642
280,-788.5317642015035,-797.9278783406721
281,-808.5272926175296,-800.0477611960437
282,-800.2892997118972,-800.0960688992144
283,-799.3514594426562,-799.9471470079028
284,-789.605713788247,-797.8788603639716
285,-800.5949440451108,-798.4220771001995
286,-797.5827262667071,-798.2542069335011
287,-831.9549078916687,-804.9943471251346
288,-802.1505109198641,-804.4255798840805
289,-801.5740096344543,-803.8552658341553
290,-832.6444172223831,-809.6130961118008
291,-800.8623008747473,-807.8629370643902
292,-799.5883628375893,-806.2080222190301
293,-800.44230454783,-805.0548786847902
294,-798.8234210658674,-803.8085871610057
295,-831.7122088000607,-809.3893114888167
296,-810.4035505736886,-809.5921593057911
297,-818.249010574924,-811.3235295596178
298,-802.5204556043547,-809.5629147685652
299,-788.884116649974,-805.427155144847
300,-798.043972030109,-803.9505185218995
301,-800.368461039245,-803.2341070253688
302,-788.4270875006587,-800.2727031204267
303,-789.7976286396992,-798.1776882242813
304,-799.5971575254772,-798.4615820845205
305,-768.2870710772415,-792.4266798830647
306,-788.1571744436322,-791.5727787951782
307,-810.8221391498449,-795.4226508661117
308,-831.8063958826992,-802.6993998694292
309,-777.5053821528031,-797.6605963261039
310,-788.0975581228015,-795.7479886854435
311,-788.8612943541854,-794.3706498191918
312,-798.8875032843893,-795.2740205122313
313,-807.0240834961871,-797.6240331090225
314,-790.3614550447758,-796.1715174961732
315,-796.2597467450336,-796.1891633459454
316,-789.0578094160593,-794.7628925599682
317,-799.1494172390994,-795.6401974957946
318,-789.0775788766776,-794.3276737719714
319,-810.1245398972314,-797.4870469970234
320,-800.5624512314726,-798.1021278439133
321,-808.7227685610296,-800.2262559873367
322,-788.0447698130782,-797.7899587524851
323,-801.791904208054,-798.5903478435989
324,-801.9974547267915,-799.2717692202375
325,-809.3058733251455,-801.2785900412192
326,-798.860107841894,-800.7948936013543
327,-807.6037749630841,-802.1566698737003
328,-800.3291378536554,-801.7911634696914
329,-801.5118175184003,-801.7352942794332
330,-799.0483466273159,-801.1979047490098
331,-764.3660294399668,-793.8315296872013
332,-798.1568215491765,-794.6965880595965
333,-798.1961998324283,-795.3965104141629
334,-800.0672433179219,-796.3306569949148
335,-798.4243273888188,-796.7493910736956
336,-789.2450299841389,-795.2485188557844
337,-799.7881381614517,-796.1564427169179
338,-786.6171934617304,-794.2485928658805
339,-809.7513722425392,-797.3491487412123
340,-789.5357041269388,-795.7864598183576
341,-787.3119893089917,-794.0915657164844
342,-801.7360834041374,-795.6204692540151
343,-788.9973773222551,-794.2958508676631
344,-809.7636026562492,-797.3894012253804
345,-819.5177327790624,-801.8150675361169
346,-777.9192233738617,-797.0358987036659
347,-812.0562011639613,-800.039959195725
348,-797.7082376953731,-799.5736148956546
349,-798.9131993053595,-799.4415317775956
350,-788.5821997568397,-797.2696653734446
351,-798.2312031081356,-797.4619729203829
352,-810.9010265943481,-800.149783655176
353,-799.4969493493663,-800.0192167940141
354,-776.1875261637388,-795.2528786679591
355,-788.2757549293266,-793.8574539202326
356,-811.4269760809466,-797.3713583523754
357,-801.11909368895,-798.1209054196904
358,-820.2841786757933,-802.553560070911
359,-787.8870863446498,-799.6202653256588
360,-788.6753306666199,-797.431278393851
361,-797.8696911903335,-797.5189609531476
362,-818.5777146063624,-801.7307116837906
363,-800.2003936640565,-801.4246480798438
364,-799.1610753637489,-800.9719335366249
365,-808.2863962295834,-802.4348260752166
366,-817.5959489817369,-805.4670506565208
367,-799.0025560581248,-804.1741517368416
368,-807.9127318611208,-804.9218677616975
369,-800.4663080616541,-804.0307558216889
370,-790.0992206891164,-801.2444487951744
371,-800.7647137298776,-801.1485017821152
372,-798.0356366157408,-800.5259287488404
373,-778.223121238816,-796.0653672468356
374,-800.5976763256052,-796.9718290625896
375,-810.8881184916715,-799.755086948406
376,-799.3196643008829,-799.6680024189013
377,-799.8670027163073,-799.7078024783826
378,-798.5260369408022,-799.4714493708666
379,-790.4811981772042,-797.6733991321341
380,-790.0542550373334,-796.1495703131741
381,-796.7034851210025,-796.2603532747398
382,-798.2191262276522,-796.6521078653224
383,-799.2942617926379,-797.1805386507856
384,-827.8115777798281,-803.3067464765941
385,-799.139216732171,-802.4732405277094
386,-786.6902625653836,-799.3166449352443
387,-788.7064531972015,-797.1946065876358
388,-790.1908524994487,-795.7938557699983
389,-808.509486512944,-798.3369819185875
390,-798.3742186329763,-798.3444292614654
391,-799.6046738884381,-798.59647818686
392,-800.506484469475,-798.9784794433831
393,-808.8706565659163,-800.9569148678897
394,-789.787454260314,-798.7230227463747
395,-792.0868522791744,-797.3957886529347
396,-799.153416826241,-797.747314287596
397,-801.102293983734,-798.4183102268237
398,-806.7529881019391,-800.0852458018468
399,-797.3001287278988,-799.5282223870572
400,-798.2706620708504,-799.2767103238159
401,-798.3455245485717,-799.0904731687672
402,-800.4042654185795,-799.3532316187298
403,-778.195113114056,-795.1216079177951
404,-790.0383023456134,-794.1049468033589
405,-800.6608205452009,-795.4161215517273
406,-799.770534822932,-796.2870042059683
407,-798.5154479641516,-796.732692957605
408,-796.4012425366182,-796.6664028734077
409,-798.22687695229,-796.9784976891842
410,-806.7195927978067,-798.9267167109087
411,-780.6232473882106,-795.2660228463692
412,-800.3602717910761,-796.2848726353106
413,-832.4081973013507,-803.5095375685187
414,-820.5499477374478,-806.9176196023046
415,-797.743898812451,-805.0828754443339
416,-789.0390320866017,-801.8741067727875
417,-800.3405363791312,-801.5673926940564
418,-788.8451037568132,-799.0229349066078
419,-797.9849931698874,-798.8153465592637
420,-796.999255659394,-798.4521283792898
421,-776.6254410415212,-794.0867909117361
422,-788.401473809668,-792.9497274913225
423,-800.6583011318759,-794.4914422194332
424,-799.386727226997,-795.4704992209461
425,-810.1475931795926,-798.4059180126754
426,-820.72900508677,-802.8705354274944
427,-780.2511727753174,-798.3466628970591
428,-806.8076444690616,-800.0388592114597
429,-806.7311053585337,-801.3773084408746
430,-810.1683470902544,-803.1355161707505
431,-799.6810114521577,-802.444615227032
432,-800.1724376963193,-801.9901797208895
433,-768.9989660640102,-795.3919369895136
434,-788.3263731504576,-793.9788242217024
435,-810.1776069558587,-797.2185807685338
436,-800.1095990026095,-797.796784415349
437,-799.3426322952328,-798.1059539913258
438,-799.8141933489177,-798.4476018628442
439,-800.6680111022158,-798.8916837107186
440,-776.3972459775721,-794.3927961640893
441,-802.3883877008944,-795.9919144714504
442,-818.5800245239521,-800.5095364819508
443,-801.1420208551733,-800.6360333565954
444,-818.8204056464705,-804.2729078145704
445,-797.6953835261011,-802.9574029568766
446,-798.574984308337,-802.0809192271687
447,-799.1242488417184,-801.4895851500787
448,-802.6679398494095,-801.7252560899449
449,-800.2474666971444,-801.4296982113848
450,-797.7335870928202,-800.6904759876719
451,-797.574206593217,-800.067222108781
452,-788.3057991487744,-797.7149375167797
453,-812.0665618242351,-800.5852623782708
454,-800.1471496275574,-800.4976398281283
455,-808.0076031807738,-801.9996324986574
456,-799.6972632620693,-801.5391586513399
457,-820.8490873707232,-805.4011443952166
458,-800.5095118200563,-804.4228178801847
459,-800.9195959796222,-803.7221735000722
460,-786.6559042767965,-800.3089196554172
461,-797.2107267993407,-799.689281084202
462,-786.7655977383718,-797.104544415036
463,-788.9785211790589,-795.4793397678407
464,-809.6878284869339,-798.3210375116594
465,-787.0247237042413,-796.0617747501758
466,-798.5868679250309,-796.5667933851469
467,-820.6442404803425,-801.382282804186
468,-809.3558470957378,-802.9769956624965
469,-808.0458665233429,-803.9907698346659
470,-787.2834581485415,-800.6493074974411
471,-810.5251302102172,-802.6244720399964
472,-811.9538272391176,-804.4903430798206
473,-789.2379075598406,-801.4398559758246
474,-788.3252390859986,-798.8169325978594
475,-778.5568691091465,-794.7649199001169
476,-779.7502517871328,-791.7619862775201
477,-779.1604244937831,-789.2416739207728
478,-809.0533648245416,-793.2040121015266
479,-797.760650705152,-794.1153398222517
480,-799.1826290322166,-795.1287976642448
481,-777.826876209853,-791.6684133733664
482,-787.6101449587569,-790.8567596904446
483,-799.1363897442889,-792.5126857012135
484,-800.463200470502,-794.1027886550712
485,-831.8632399143098,-801.654878906919
486,-797.4227693063069,-800.8084569867966
487,-788.3109057524688,-798.3089467399311
488,-791.4162098779416,-796.9303993675333
489,-799.954145281617,-797.5351485503501
490,-798.5788249207761,-797.7438838244353
491,-810.1215393660431,-800.2194149327569
492,-802.0755245015348,-800.5906368465126
493,-788.826184008139,-798.2377462788379
494,-812.1633377390033,-801.022864570871
495,-797.7712852103602,-800.3725486987689
496,-788.7039556074271,-798.0388300805007
497,-799.8232490078669,-798.395713865974
498,-809.3573107703114,-800.5880332468416
499,-797.4195869182433,-799.954343981122
